2015-05-20 20:54:51;	1;100;0;	2;136;80;	3;143;38682362306;	4;100;19;	5;100;0;	7;100;0;	8;142;25;	9;100;5574;	10;100;0;	12;100;19;	192;100;247;	193;100;247;	194;230;154620330010;	196;100;0;	197;100;0;	198;100;0;	199;200;0;
2015-05-20 21:24:52;	1;100;0;	2;136;80;	3;143;38682362306;	4;100;19;	5;100;0;	7;100;0;	8;142;25;	9;100;5574;	10;100;0;	12;100;19;	192;100;247;	193;100;247;	194;230;154620330010;	196;100;0;	197;100;0;	198;100;0;	199;200;0;
2015-05-20 21:54:52;	1;100;0;	2;136;80;	3;143;38682362306;	4;100;19;	5;100;0;	7;100;0;	8;142;25;	9;100;5575;	10;100;0;	12;100;19;	192;100;247;	193;100;247;	194;230;154620330010;	196;100;0;	197;100;0;	198;100;0;	199;200;0;
2015-05-20 22:24:52;	1;100;0;	2;136;80;	3;143;38682362306;	4;100;19;	5;100;0;	7;100;0;	8;142;25;	9;100;5575;	10;100;0;	12;100;19;	192;100;247;	193;100;247;	194;230;154620330010;	196;100;0;	197;100;0;	198;100;0;	199;200;0;
2015-05-20 22:54:52;	1;100;0;	2;136;80;	3;143;38682362306;	4;100;19;	5;100;0;	7;100;0;	8;142;25;	9;100;5576;	10;100;0;	12;100;19;	192;100;247;	193;100;247;	194;230;154620330010;	196;100;0;	197;100;0;	198;100;0;	199;200;0;
2015-05-20 23:24:52;	1;100;0;	2;136;80;	3;143;38682362306;	4;100;19;	5;100;0;	7;100;0;	8;142;25;	9;100;5576;	10;100;0;	12;100;19;	192;100;247;	193;100;247;	194;230;154620330010;	196;100;0;	197;100;0;	198;100;0;	199;200;0;
2015-05-20 23:54:52;	1;100;0;	2;136;80;	3;143;38682362306;	4;100;19;	5;100;0;	7;100;0;	8;142;25;	9;100;5577;	10;100;0;	12;100;19;	192;100;247;	193;100;247;	194;230;154620330010;	196;100;0;	197;100;0;	198;100;0;	199;200;0;
2015-05-21 00:24:52;	1;100;0;	2;136;80;	3;143;38682362306;	4;100;19;	5;100;0;	7;100;0;	8;142;25;	9;100;5577;	10;100;0;	12;100;19;	192;100;247;	193;100;247;	194;240;154620330009;	196;100;0;	197;100;0;	198;100;0;	199;200;0;
2015-05-21 00:54:52;	1;100;0;	2;136;80;	3;143;38682362306;	4;100;19;	5;100;0;	7;100;0;	8;142;25;	9;100;5578;	10;100;0;	12;100;19;	192;100;247;	193;100;247;	194;240;154620330009;	196;100;0;	197;100;0;	198;100;0;	199;200;0;
2015-05-21 01:24:52;	1;100;0;	2;136;80;	3;143;38682362306;	4;100;19;	5;100;0;	7;100;0;	8;142;25;	9;100;5578;	10;100;0;	12;100;19;	192;100;247;	193;100;247;	194;240;154620330009;	196;100;0;	197;100;0;	198;100;0;	199;200;0;
2015-05-21 01:54:52;	1;100;0;	2;136;80;	3;143;38682362306;	4;100;19;	5;100;0;	7;100;0;	8;142;25;	9;100;5579;	10;100;0;	12;100;19;	192;100;247;	193;100;247;	194;240;154620330009;	196;100;0;	197;100;0;	198;100;0;	199;200;0;
2015-05-21 02:24:52;	1;100;0;	2;136;80;	3;143;38682362306;	4;100;19;	5;100;0;	7;100;0;	8;142;25;	9;100;5579;	10;100;0;	12;100;19;	192;100;247;	193;100;247;	194;240;154620330009;	196;100;0;	197;100;0;	198;100;0;	199;200;0;
2015-05-21 02:54:52;	1;100;0;	2;136;80;	3;143;38682362306;	4;100;19;	5;100;0;	7;100;0;	8;142;25;	9;100;5580;	10;100;0;	12;100;19;	192;100;247;	193;100;247;	194;230;154620330010;	196;100;0;	197;100;0;	198;100;0;	199;200;0;
2015-05-21 03:24:52;	1;100;0;	2;136;80;	3;143;38682362306;	4;100;19;	5;100;0;	7;100;0;	8;142;25;	9;100;5580;	10;100;0;	12;100;19;	192;100;247;	193;100;247;	194;240;154620330009;	196;100;0;	197;100;0;	198;100;0;	199;200;0;
2015-05-21 03:54:52;	1;100;0;	2;136;80;	3;143;38682362306;	4;100;19;	5;100;0;	7;100;0;	8;142;25;	9;100;5581;	10;100;0;	12;100;19;	192;100;247;	193;100;247;	194;240;154620330009;	196;100;0;	197;100;0;	198;100;0;	199;200;0;
2015-05-21 04:24:52;	1;100;0;	2;136;80;	3;143;38682362306;	4;100;19;	5;100;0;	7;100;0;	8;142;25;	9;100;5581;	10;100;0;	12;100;19;	192;100;247;	193;100;247;	194;240;154620330009;	196;100;0;	197;100;0;	198;100;0;	199;200;0;
2015-05-21 04:54:52;	1;100;0;	2;136;80;	3;143;38682362306;	4;100;19;	5;100;0;	7;100;0;	8;142;25;	9;100;5582;	10;100;0;	12;100;19;	192;100;247;	193;100;247;	194;230;154620330010;	196;100;0;	197;100;0;	198;100;0;	199;200;0;
